 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
  -27.81   70.95   95.74        0.0001213
 -177.68   48.25   41.32        0.0000360
 -172.01   62.13   52.53        0.0000548
  -96.29   25.79   41.55        0.0006330
  131.08   31.48   46.80        0.0000185
 -108.97   72.34   67.62        0.0000266
   41.31   33.57   35.73        0.0003064
 -172.05   37.75   30.53        0.0001099
  -86.86   65.23   65.57        0.0000200
   34.26   54.67   71.43        0.0000331
   32.61   33.14   43.26        0.0001464
   79.71   70.41   47.54        0.0000299
  143.26   80.04   94.05        0.0001116
 -166.61   67.34   18.30        0.0003556
  -32.58   82.66   92.80        0.0001336
   -1.24   34.72   48.40        0.0000065
  139.90   41.56   38.35        0.0000104
  145.72   87.12   88.30        0.0000525
 -106.09   15.44   88.45        0.0000662
   54.21   39.45   39.45        0.0000198
  -60.45   80.88    6.11        0.0001136
 -161.73   32.98   53.93        0.0000166
  -62.44   95.80   65.91        0.0003015
  120.33   96.52   77.53        0.0000262
   91.30   64.53   92.30        0.0000284
    8.33   62.52   67.58        0.0000154
  -30.64   83.29   80.49        0.0006142
  -38.65   44.57   41.57        0.0000177
    9.96   60.55   57.82        0.0001034
  157.35   67.66   95.86        0.0000311
  -11.05   65.36   53.92        0.0002887
   42.15   23.65   31.94        0.0001125
 -146.14   51.76   63.96        0.0000422
  114.86   88.22   58.85        0.0002115
   -1.56   74.01   33.93        0.0000217
  177.62   43.55   50.50        0.0002200
  102.06   68.41   48.75        0.0000374
 -130.52   92.36    4.15        0.0002094
 -114.91   35.68   31.20        0.0000797
  -30.98   86.79    5.20        0.0000256
 -123.04   81.66   83.46        0.0001329
   -8.36   33.13   44.30        0.0000244
 -145.63   58.90   68.57        0.0000454
   26.55   27.87   42.80        0.0001378
  -79.08   34.23   73.91        0.0000726
   59.09   94.56   14.28        0.0000885
   65.40   75.11   64.82        0.0000451
  -58.17   78.34   16.04        0.0000140
